scene,speaker,solo_interior,solo_seams,overlap_proposed,overlap_blind,eval_margin
5639-40744-0026_4446-2271-0019_8230-279154-0022,s2,inf,34.66483619153682,8.557369693692266,-5.434387785514235,0.19223777603037473
5639-40744-0026_4446-2271-0019_8230-279154-0022,s3,inf,inf,nan,nan,0.3365119781268726
5683-32879-0017_7176-92135-0009_4077-13751-0014,s1,inf,54.94811734698899,2.7519379600165186,9.647012956966668,0.4468642007751735
5683-32879-0017_7176-92135-0009_4077-13751-0014,s2,inf,61.8219534504218,7.6084011913347185,-3.0763560532383094,-0.3546718913984096
5683-32879-0017_7176-92135-0009_4077-13751-0014,s3,inf,inf,nan,nan,0.2663075885362054
237-134500-0014_4077-13754-0006_8455-210777-0034,s1,inf,59.388119865720846,-6.059669648031896,-2.9621112274748054,0.5741540449001883
237-134500-0014_4077-13754-0006_8455-210777-0034,s2,inf,35.47044474815841,-0.7601204178061165,-7.836618815310966,0.19830416869917578
237-134500-0014_4077-13754-0006_8455-210777-0034,s3,inf,46.98721659463096,3.1708713639315085,3.6605173828882016,0.028479740184312208
6930-75918-0005_908-31957-0024_7127-75946-0029,s1,inf,44.54135374391573,6.941117916457085,4.943068069828526,0.24893311115111472
6930-75918-0005_908-31957-0024_7127-75946-0029,s2,inf,35.38553879040111,9.000881530169579,8.951954659934962,0.04346179007656792
6930-75918-0005_908-31957-0024_7127-75946-0029,s3,inf,inf,nan,nan,0.33965459030775036
2961-961-0006_260-123286-0031_4077-13754-0013,s1,inf,64.72852445727342,3.885912061237696,4.09869906653091,0.3963060843421313
2961-961-0006_260-123286-0031_4077-13754-0013,s2,inf,40.18240687045767,4.633786448705177,-6.5121795438062655,-0.03371485990996892
2961-961-0006_260-123286-0031_4077-13754-0013,s3,inf,50.75151344753864,-0.6963774800720086,-6.570972835444361,0.14155071800548757
5683-32866-0017_4992-23283-0011_6829-68771-0013,s1,inf,39.361039396361114,1.6698641535727328,1.126999553180993,0.11728995380026663
5683-32866-0017_4992-23283-0011_6829-68771-0013,s2,inf,30.23033387447631,-3.4665008195466607,-9.507104665424027,-0.04450296938721021
5683-32866-0017_4992-23283-0011_6829-68771-0013,s3,inf,40.3727013081689,8.787496244623863,12.249704033897599,0.12313459423879647
1188-133604-0034_2830-3980-0019_260-123286-0013,s1,inf,71.88663718654394,7.388586083255203,9.6748367000821,0.09197834679373063
1188-133604-0034_2830-3980-0019_260-123286-0013,s2,inf,37.62813960446772,0.4725183977069398,3.6681892778242435,-0.2194844409492971
1188-133604-0034_2830-3980-0019_260-123286-0013,s3,inf,inf,nan,nan,0.07451215999306793
1284-1181-0014_7729-102255-0011_908-31957-0003,s1,inf,62.98198432346357,6.601868311308144,7.407050500991364,0.30001284447652443
1284-1181-0014_7729-102255-0011_908-31957-0003,s2,inf,56.169724972807806,-3.913069552280631,-4.290547570018976,0.21450131012291118
1284-1181-0014_7729-102255-0011_908-31957-0003,s3,inf,66.71764264154501,5.681294534920386,-14.232486448862417,-0.09951355623451974
1188-133604-0013_1320-122612-0009_3570-5695-0000,s1,inf,37.211383652527196,-3.919954638435053,-4.155921074501147,0.22196758390528204
